leaid,ncessch,report_dis,report_race,report_sex,counselors_fte,psych_fte,law_fte
0400001,040000100120,0,0,0,1,1,0
0400001,040000100616,0,0,1,1,1,0
0400001,040000101204,0,0,1,1,1,0
0400001,040000101871,0,1,1,1,1,0
0400001,040000101872,0,0,0,1,1,0
0400001,040000102344,0,0,0,1,1,0
0400001,040000102484,0,0,0,1,1,0
0400001,040000103334,0,0,0,0,1,0
0400003,040000300147,0,0,0,0,0,1
0400003,040000301198,0,0,0,0,0,1
0400003,040000301458,0,0,0,1,0,1
0400003,040000301969,0,0,0,0,0,1
0400004,040000400912,0,0,0,1,1,1
0400005,040000500629,0,0,0,0,0,0
0400016,040001600476,0,0,0,0,0,0
0400016,040001600481,0,0,0,0,0,0
0400016,040001601942,0,0,0,0,0,0
0400016,040001602442,0,0,0,0,0,0
0400016,040001602443,0,0,0,0,0,0
0400018,040001800496,0,0,0,1,0,0
0400019,040001900498,0,0,0,1,0,0
0400020,040002001179,0,0,0,0,0,0
0400021,040002101276,0,0,0,0,1,0
0400021,040002103446,0,0,0,0,1,0
0400022,040002201354,0,0,0,0,0,0
0400023,040002301352,0,0,0,0,0,0
0400023,040002301355,0,0,0,1,0,0
0400023,040002301524,0,0,0,0,0,0
0400026,040002601389,0,0,0,0,0,0
0400026,040002601459,0,0,0,1,0,0
0400026,040002601460,0,0,0,1,0,0
0400026,040002601767,0,0,0,0,0,0
0400028,040002800528,0,0,0,1,1,0
0400031,040003100689,0,0,0,0,0,0
0400033,040003300703,0,0,0,0,0,0
0400034,040003400707,0,0,0,0,0,0
0400036,040003600709,0,0,0,0,0,0
0400036,040003603421,0,0,0,0,0,0
0400037,040003700712,0,0,0,0,0,0
0400037,040003703168,0,0,0,0,0,0
0400040,040004003343,0,0,0,0,0,0
0400041,040004100718,0,0,0,1,0,1
0400043,040004300733,0,0,0,0,0,0
0400047,040004700744,0,0,0,1,0,1
0400047,040004703031,0,0,0,1,1,0
0400052,040005200752,1,0,0,0,0,0
0400053,040005300754,0,1,0,0,0,0
0400054,040005400756,0,0,0,0,0,0
0400055,040005501731,0,0,0,0,0,0
0400056,040005600781,0,0,0,0,0,0
0400057,040005700784,0,1,1,1,0,0
0400061,040006101742,0,0,0,1,0,0
0400065,040006501599,0,0,0,0,0,0
0400065,040006501600,0,0,0,0,0,0
0400065,040006502685,0,0,0,0,0,0
0400065,040006503395,0,0,0,1,0,0
0400067,040006701901,0,0,0,0,0,0
0400068,040006800825,0,0,0,0,0,0
0400068,040006801745,0,0,0,0,0,0
0400069,040006900826,0,0,0,0,0,0
0400070,040007000831,0,0,1,1,1,0
0400071,040007100832,0,0,0,0,0,0
0400072,040007200834,0,0,0,0,0,0
0400072,040007202264,0,0,0,0,0,0
0400074,040007401604,0,0,0,0,1,1
0400074,040007401605,0,0,0,0,1,1
0400074,040007401759,0,0,0,0,1,1
0400074,040007402185,0,0,0,0,1,1
0400075,040007500893,0,0,0,0,0,0
0400077,040007700943,0,1,1,1,0,0
0400078,040007801006,0,0,0,1,0,0
0400078,040007802386,0,0,0,1,0,0
0400079,040007901008,0,0,0,0,0,0
0400079,040007903035,0,0,0,0,0,0
0400081,040008101010,0,0,1,0,1,0
0400082,040008200006,0,0,0,1,0,0
0400082,040008201457,0,0,1,1,0,1
0400082,040008203225,0,0,0,0,0,0
0400083,040008301011,0,0,0,0,0,0
0400083,040008301014,0,0,0,0,0,0
0400083,040008301015,0,0,0,0,0,0
0400083,040008301016,0,0,0,0,0,0
0400083,040008301017,0,0,0,0,0,0
0400083,040008301018,0,0,0,0,0,0
0400089,040008901063,0,0,0,0,0,0
0400090,040009001066,0,0,0,0,0,0
0400092,040009201075,0,0,0,0,0,0
0400093,040009301086,0,0,0,0,0,0
0400094,040009401109,0,0,0,1,0,1
0400095,040009501114,0,0,0,1,0,0
0400096,040009601174,0,0,0,1,0,0
0400097,040009701178,0,1,0,1,1,0
0400098,040009801180,0,0,0,1,0,0
0400099,040009901182,0,0,1,0,0,0
0400100,040010001714,0,1,1,0,0,0
0400102,040010201582,1,1,1,1,0,0
0400106,040010601892,0,0,0,0,0,0
0400107,040010701590,0,0,0,0,0,0
0400107,040010702650,0,0,0,0,0,0
0400108,040010802145,0,0,0,0,0,0
0400108,040010802146,0,0,0,0,0,0
0400109,040010901592,0,0,0,0,0,0
0400111,040011101594,0,0,0,0,1,0
0400112,040011201595,0,0,0,0,1,0
0400112,040011203179,0,0,0,1,1,1
0400112,040011203279,0,0,0,0,1,0
0400112,040011203340,0,1,0,0,1,0
0400112,040011203365,0,1,0,0,1,0
0400112,040011203475,0,1,1,1,1,1
0400112,040011203570,0,0,0,0,1,0
0400112,040011203573,0,0,1,1,1,1
0400112,040011203576,0,0,0,0,1,0
0400113,040011301601,0,0,0,0,0,0
0400115,040011501617,0,0,0,0,0,0
0400121,040012101581,0,0,0,0,0,0
0400122,040012201585,0,0,0,1,0,0
0400124,040012401589,0,0,0,0,0,0
0400126,040012601620,0,0,0,1,1,0
0400126,040012601778,0,0,0,1,1,0
0400129,040012901790,0,0,0,0,0,0
0400130,040013001803,0,0,0,1,0,0
0400130,040013002569,0,0,0,0,0,0
0400131,040013101781,0,0,0,0,0,0
0400131,040013101960,0,0,0,0,0,0
0400131,040013102070,0,0,0,0,0,0
0400131,040013103274,0,0,0,0,0,0
0400134,040013401786,0,0,0,0,0,0
0400135,040013501748,0,0,0,0,0,0
0400141,040014101657,0,0,0,0,0,0
0400144,040014401717,0,0,0,1,0,0
0400145,040014501750,0,0,0,0,0,0
0400147,040014701787,0,0,0,0,0,0
0400149,040014901897,0,0,0,1,0,0
0400149,040014903386,0,0,0,0,0,0
0400150,040015001793,0,0,0,0,0,0
0400150,040015003403,0,0,0,0,0,0
0400151,040015101747,0,0,0,0,0,0
0400153,040015301902,0,0,0,0,0,0
0400154,040015401770,0,0,0,0,0,0
0400157,040015701728,0,0,0,1,0,0
0400157,040015703046,0,0,0,0,0,0
0400159,040015901791,0,0,0,1,0,0
0400160,040016001779,0,0,0,0,0,0
0400163,040016301820,0,0,0,0,1,0
0400163,040016301821,0,0,0,0,1,1
0400163,040016302429,0,0,0,1,0,0
0400163,040016303138,0,0,0,0,0,0
0400164,040016401726,0,0,0,0,1,0
0400165,040016501755,0,0,0,0,0,0
0400181,040018101889,0,0,0,0,0,0
0400182,040018201890,0,0,0,0,1,0
0400182,040018202964,0,0,0,0,1,0
0400184,040018401713,0,0,0,0,1,0
0400185,040018502147,0,0,0,1,0,0
0400187,040018701906,0,0,0,0,0,0
0400189,040018901907,0,0,0,0,0,0
0400190,040019001908,0,0,0,0,0,0
0400190,040019003247,0,0,0,0,0,0
0400191,040019101909,0,0,0,0,0,0
0400191,040019103434,0,0,0,0,0,0
0400191,040019103557,0,0,0,0,0,0
0400201,040020102069,0,0,0,1,0,0
0400202,040020201959,0,0,0,1,0,0
0400202,040020202312,0,0,0,0,0,0
